_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
723,2013,N.S./N.P.,50-54,1
724,2013,N.S./N.P.,55-59,0
725,2013,N.S./N.P.,60+,0
726,2013,N.S./N.P.,N.S./N.P.,1586
727,2014,15,<20,37
728,2014,15,20-24,3
729,2014,15,25-29,2
730,2014,15,30-34,0
731,2014,15,35-39,0
732,2014,15,40-44,0
733,2014,15,45-49,0
734,2014,15,50-54,0
735,2014,15,55-59,0
736,2014,15,60+,0
737,2014,15,N.S./N.P.,26
738,2014,16,<20,117
739,2014,16,20-24,30
740,2014,16,25-29,5
741,2014,16,30-34,1
742,2014,16,35-39,0
743,2014,16,40-44,1
744,2014,16,45-49,0
745,2014,16,50-54,0
746,2014,16,55-59,0
747,2014,16,60+,0
748,2014,16,N.S./N.P.,65
749,2014,17,<20,222
750,2014,17,20-24,137
751,2014,17,25-29,24
752,2014,17,30-34,2
753,2014,17,35-39,2
754,2014,17,40-44,1
755,2014,17,45-49,0
756,2014,17,50-54,0
757,2014,17,55-59,0
758,2014,17,60+,0
759,2014,17,N.S./N.P.,110
760,2014,18,<20,286
761,2014,18,20-24,337
762,2014,18,25-29,57
763,2014,18,30-34,28
764,2014,18,35-39,5
765,2014,18,40-44,3
766,2014,18,45-49,0
767,2014,18,50-54,0
768,2014,18,55-59,0
769,2014,18,60+,0
770,2014,18,N.S./N.P.,217
771,2014,19,<20,259
772,2014,19,20-24,673
773,2014,19,25-29,184
774,2014,19,30-34,43
775,2014,19,35-39,14
776,2014,19,40-44,2
777,2014,19,45-49,2
778,2014,19,50-54,0
779,2014,19,55-59,1
780,2014,19,60+,0
781,2014,19,N.S./N.P.,267
782,2014,20,<20,131
783,2014,20,20-24,1025
784,2014,20,25-29,370
785,2014,20,30-34,105
786,2014,20,35-39,29
787,2014,20,40-44,2
788,2014,20,45-49,7
789,2014,20,50-54,1
790,2014,20,55-59,0
791,2014,20,60+,0
792,2014,20,N.S./N.P.,333
793,2014,21,<20,72
794,2014,21,20-24,1206
795,2014,21,25-29,618
796,2014,21,30-34,185
797,2014,21,35-39,52
798,2014,21,40-44,13
799,2014,21,45-49,5
800,2014,21,50-54,2
801,2014,21,55-59,2
802,2014,21,60+,0
803,2014,21,N.S./N.P.,323
804,2014,22,<20,26
805,2014,22,20-24,1232
806,2014,22,25-29,947
807,2014,22,30-34,288
808,2014,22,35-39,88
809,2014,22,40-44,30
810,2014,22,45-49,8
811,2014,22,50-54,3
812,2014,22,55-59,2
813,2014,22,60+,0
814,2014,22,N.S./N.P.,340
815,2014,23,<20,11
816,2014,23,20-24,1116
817,2014,23,25-29,1537
818,2014,23,30-34,522
819,2014,23,35-39,121
820,2014,23,40-44,44
821,2014,23,45-49,14
822,2014,23,50-54,4
823,2014,23,55-59,1
824,2014,23,60+,0
825,2014,23,N.S./N.P.,350
826,2014,24,<20,10
827,2014,24,20-24,890
828,2014,24,25-29,2173
829,2014,24,30-34,823
830,2014,24,35-39,220
831,2014,24,40-44,67
832,2014,24,45-49,14
833,2014,24,50-54,11
834,2014,24,55-59,4
835,2014,24,60+,2
836,2014,24,N.S./N.P.,335
837,2014,25,<20,5
838,2014,25,20-24,473
839,2014,25,25-29,2722
840,2014,25,30-34,1229
841,2014,25,35-39,328
842,2014,25,40-44,102
843,2014,25,45-49,36
844,2014,25,50-54,12
845,2014,25,55-59,6
846,2014,25,60+,2
847,2014,25,N.S./N.P.,314
848,2014,26,<20,5
849,2014,26,20-24,306
850,2014,26,25-29,3395
851,2014,26,30-34,1774
852,2014,26,35-39,474
853,2014,26,40-44,105
854,2014,26,45-49,50
855,2014,26,50-54,16
856,2014,26,55-59,7
857,2014,26,60+,0
858,2014,26,N.S./N.P.,299
859,2014,27,<20,5
860,2014,27,20-24,170
861,2014,27,25-29,3586
862,2014,27,30-34,2638
863,2014,27,35-39,723
864,2014,27,40-44,194
865,2014,27,45-49,65
866,2014,27,50-54,17
867,2014,27,55-59,4
868,2014,27,60+,2
869,2014,27,N.S./N.P.,325
870,2014,28,<20,6
871,2014,28,20-24,118
872,2014,28,25-29,3457
873,2014,28,30-34,3720
874,2014,28,35-39,1036
875,2014,28,40-44,272
876,2014,28,45-49,65
877,2014,28,50-54,21
878,2014,28,55-59,5
879,2014,28,60+,3
880,2014,28,N.S./N.P.,361
881,2014,29,<20,3
882,2014,29,20-24,97
883,2014,29,25-29,2702
884,2014,29,30-34,5085
885,2014,29,35-39,1450
886,2014,29,40-44,389
887,2014,29,45-49,102
888,2014,29,50-54,37
889,2014,29,55-59,9
890,2014,29,60+,1
891,2014,29,N.S./N.P.,331
892,2014,30,<20,1
893,2014,30,20-24,65
894,2014,30,25-29,1580
895,2014,30,30-34,6162
896,2014,30,35-39,1880
897,2014,30,40-44,486
898,2014,30,45-49,125
899,2014,30,50-54,39
900,2014,30,55-59,10
901,2014,30,60+,6
902,2014,30,N.S./N.P.,361
903,2014,31,<20,2
904,2014,31,20-24,44
905,2014,31,25-29,923
906,2014,31,30-34,6418
907,2014,31,35-39,2549
908,2014,31,40-44,626
909,2014,31,45-49,146
910,2014,31,50-54,48
911,2014,31,55-59,10
912,2014,31,60+,1
913,2014,31,N.S./N.P.,287
914,2014,32,<20,1
915,2014,32,20-24,41
916,2014,32,25-29,575
917,2014,32,30-34,5716
918,2014,32,35-39,3050
919,2014,32,40-44,763
920,2014,32,45-49,215
921,2014,32,50-54,53
922,2014,32,55-59,19
923,2014,32,60+,5
924,2014,32,N.S./N.P.,258
925,2014,33,<20,0
926,2014,33,20-24,29
927,2014,33,25-29,365
928,2014,33,30-34,4457
929,2014,33,35-39,3563
930,2014,33,40-44,980
931,2014,33,45-49,223
932,2014,33,50-54,62
933,2014,33,55-59,24
934,2014,33,60+,11
935,2014,33,N.S./N.P.,234
936,2014,34,<20,1
937,2014,34,20-24,21
938,2014,34,25-29,247
939,2014,34,30-34,2949
940,2014,34,35-39,3897
941,2014,34,40-44,1105
942,2014,34,45-49,293
943,2014,34,50-54,83
944,2014,34,55-59,25
945,2014,34,60+,16
946,2014,34,N.S./N.P.,193
947,2014,35,<20,0
948,2014,35,20-24,17
949,2014,35,25-29,212
950,2014,35,30-34,1678
951,2014,35,35-39,3976
952,2014,35,40-44,1186
953,2014,35,45-49,299
954,2014,35,50-54,102
955,2014,35,55-59,22
956,2014,35,60+,11
957,2014,35,N.S./N.P.,212
958,2014,36,<20,0
959,2014,36,20-24,11
960,2014,36,25-29,135
961,2014,36,30-34,867
962,2014,36,35-39,3362
963,2014,36,40-44,1352
964,2014,36,45-49,349
965,2014,36,50-54,97
966,2014,36,55-59,20
967,2014,36,60+,8
968,2014,36,N.S./N.P.,221
969,2014,37,<20,0
970,2014,37,20-24,15
971,2014,37,25-29,81
972,2014,37,30-34,533
973,2014,37,35-39,2381
974,2014,37,40-44,1345
975,2014,37,45-49,367
976,2014,37,50-54,81
977,2014,37,55-59,24
978,2014,37,60+,18
979,2014,37,N.S./N.P.,165
980,2014,38,<20,0
981,2014,38,20-24,3
982,2014,38,25-29,68
983,2014,38,30-34,361
984,2014,38,35-39,1688
985,2014,38,40-44,1310
986,2014,38,45-49,379
987,2014,38,50-54,91
988,2014,38,55-59,26
989,2014,38,60+,6
990,2014,38,N.S./N.P.,148
991,2014,39,<20,0
992,2014,39,20-24,7
993,2014,39,25-29,50
994,2014,39,30-34,237
995,2014,39,35-39,1039
996,2014,39,40-44,1135
997,2014,39,45-49,371
998,2014,39,50-54,85
999,2014,39,55-59,19
1000,2014,39,60+,5
1001,2014,39,N.S./N.P.,110
1002,2014,40,<20,0
1003,2014,40,20-24,4
1004,2014,40,25-29,33
1005,2014,40,30-34,120
1006,2014,40,35-39,528
1007,2014,40,40-44,900
1008,2014,40,45-49,356
